frame,xAvatar,xCursor,yAvatar,yCursor
107,1076,1081,416,406
108,1067,1078,416,410
109,1069,1073,425,422
110,1064,1070,426,427
111,1065,1069,426,431
112,1050,1068,431,436
113,1053,1069,432,438
114,1059,1073,433,443
115,1061,1074,430,442
116,1061,1076,429,439
117,1077,1079,427,437
118,1064,1080,426,433
119,1063,1076,425,434
120,1058,1076,428,437
121,1059,1075,429,439
122,1061,1074,431,442
124,1060,1077,440,444
125,1062,1077,441,444
126,1062,1076,442,444
127,1061,1074,439,443
128,1029,1073,439,442
129,1055,1068,432,439
130,1050,1064,430,439
131,1033,1060,433,441
132,1031,1056,435,443
133,1034,1055,437,443
134,1034,1055,439,443
135,1034,1055,438,443
136,1035,1057,438,444
137,1034,1057,436,444
138,1034,1057,437,444
139,1040,1064,434,450
140,1038,1063,440,451
141,1036,1062,432,451
142,1038,1062,432,453
143,1032,1062,439,454
144,1029,1061,446,455
145,1029,1060,445,454
146,1027,1058,441,453
147,1025,1056,438,451
148,1029,1054,437,451
149,1022,1051,438,454
150,1018,1051,437,456
151,1018,1050,440,457
152,1019,1050,440,459
153,1024,1050,445,461
154,1021,1049,448,463
155,1023,1048,441,464
156,1018,1047,450,468
157,1018,1047,450,472
158,1017,1048,450,472
159,1018,1048,449,468
160,1018,1050,449,468
161,1018,1052,450,468
162,1017,1054,450,471
163,1023,1056,449,471
164,1028,1058,449,469
165,1028,1058,449,469
166,1023,1055,450,469
167,1021,1042,450,467
168,1020,1040,450,464
169,1020,1040,450,464
170,1018,1038,442,468
171,1015,1033,450,472
172,1013,1032,450,471
173,1016,1031,450,470
174,1023,1032,449,470
175,1017,1033,450,469
176,1025,1036,449,468
177,1022,1035,450,471
178,1021,1034,450,476
179,1017,1032,450,480
180,1015,1032,458,484
181,1016,1030,462,493
182,1014,1028,462,497
183,1012,1026,463,500
184,1010,1023,464,502
185,1007,1023,463,502
186,1015,1024,463,501
187,1011,1024,463,502
188,1018,1024,462,504
189,1017,1025,463,506
190,1012,1024,464,506
191,1020,1026,464,505
192,1022,1027,463,504
193,1022,1029,462,503
194,1020,1030,462,503
195,1017,1026,463,503
196,1013,1023,465,508
197,1011,1022,466,509
198,1013,1022,466,509
199,1014,1022,465,508
200,1020,1022,464,507
201,1025,1020,463,504
202,1018,1019,463,505
203,1023,1019,463,505
204,1026,1021,463,506
205,1021,1021,463,506
206,1023,1025,465,503
207,1014,1026,462,501
208,1017,1029,464,499
209,1017,1031,463,497
210,1016,1030,463,504
211,1014,1031,462,501
212,1012,1030,461,500
213,1017,1030,459,498
214,1015,1032,459,497
215,1016,1033,459,497
216,1020,1035,461,499
217,1019,1036,463,499
218,1023,1036,463,499
219,1020,1036,463,498
220,1023,1036,462,496
221,1021,1037,459,492
222,1019,1037,459,491
223,1015,1037,458,490
224,1016,1036,458,486
225,1018,1038,457,485
226,1015,1038,457,484
227,1013,1038,457,484
228,1008,1038,460,483
229,1015,1038,457,482
230,1022,1038,456,481
231,1016,1038,452,477
232,1015,1038,451,475
233,1006,1039,451,475
234,1009,1041,451,475
235,1020,1043,451,476
236,1020,1042,452,479
237,1019,1042,452,478
238,1018,1042,452,477
239,1018,1041,452,476
240,1017,1041,453,476
241,1018,1040,453,476
242,1017,1041,451,475
243,1018,1041,450,475
245,1016,1041,450,475
246,1018,1041,450,475
247,1016,1041,451,475
248,1016,1041,451,476
249,1019,1040,451,476
250,1018,1040,451,477
251,1015,1039,451,477
252,1012,1039,452,477
253,1016,1039,452,476
254,1016,1039,451,475
255,1017,1038,451,474
256,1009,1039,441,471
257,1016,1039,451,471
258,1018,1039,451,471
259,1017,1039,452,470
260,1013,1039,452,469
261,979,1040,450,468
262,1014,1040,450,467
263,1015,1040,450,467
264,981,1040,450,467
265,990,1040,450,467
266,1015,1041,449,466
267,1016,1041,448,465
268,1021,1040,448,466
269,1023,1040,444,466
270,1025,1039,443,466
271,1022,1028,441,461
272,1012,1028,447,461
273,1010,1027,447,460
274,1010,1026,448,460
275,1010,1026,448,459
276,1014,1025,448,460
277,1014,1025,448,460
278,1017,1027,448,459
279,1017,1029,448,458
280,1021,1030,448,458
281,1020,1029,439,459
282,1029,1029,440,459
283,1030,1029,441,459
284,1029,1029,443,459
285,1028,1030,443,459
288,1031,1036,444,467
289,1027,1037,444,468
290,1030,1037,444,468
291,1029,1038,440,467
292,1028,1039,444,468
293,1030,1040,444,469
294,1030,1040,442,469
295,1028,1040,440,469
296,1027,1041,442,469
297,1030,1042,442,468
298,1027,1042,440,467
299,1026,1042,442,467
300,1025,1042,439,467
301,1023,1042,438,465
302,1022,1043,441,465
303,1024,1043,441,464
304,1024,1043,441,463
305,1023,1044,441,463
306,1021,1044,436,461
307,1023,1045,436,460
308,1022,1045,442,460
309,1023,1045,435,459
310,1026,1044,441,459
311,1022,1043,440,459
312,1021,1042,440,460
313,1020,1041,440,460
314,1020,1040,441,460
315,1021,1040,440,462
316,1019,1040,441,464
317,1018,1041,440,464
318,1019,1041,441,464
319,1025,1040,436,464
320,1025,1039,436,463
321,1017,1040,439,461
322,1017,1039,440,461
323,1016,1039,439,461
324,1015,1039,440,461
325,1016,1040,441,460
328,1014,1043,439,459
329,1016,1042,439,459
330,1016,1042,439,459
331,1017,1043,437,457
332,1015,1042,437,457
333,1014,1041,435,456
334,1013,1042,437,455
335,1016,1042,436,455
336,1017,1042,437,454
337,1022,1042,436,454
338,1023,1043,436,453
339,1024,1043,436,453
340,1019,1043,437,453
341,1025,1043,433,453
342,1026,1042,435,453
343,1027,1043,435,453
344,1026,1043,434,453
345,1026,1043,435,453
346,1023,1042,435,452
347,1020,1042,436,452
348,1020,1042,438,452
349,1017,1041,437,451
350,1014,1041,438,452
351,1017,1041,436,452
352,1019,1042,436,450
353,1011,1043,439,450
354,1011,1043,439,449
355,1013,1043,439,450
356,1013,1043,440,451
357,1016,1043,440,451
358,1015,1044,440,451
359,1017,1044,441,451
360,1018,1043,441,451
361,1023,1043,439,450
362,1028,1043,439,451
363,1028,1043,435,451
364,1028,1042,436,452
365,1029,1042,437,452
366,1027,1042,438,453
367,1029,1042,438,452
368,1030,1042,438,452
371,1033,1039,435,441
372,1034,507,434,810
373,1034,1034,434,438
374,1034,1035,434,438
375,1034,1034,433,438
376,1033,1035,434,439
377,1034,1035,434,440
378,1034,1035,433,440
379,1035,1035,433,440
380,1033,1035,438,440
381,1034,1034,434,440
382,1034,1033,432,440
383,1027,1033,435,439
384,1023,1033,436,439
385,1022,1033,437,438
386,1024,1033,437,439
387,1027,1038,438,451
388,1025,1038,438,452
389,1024,1039,438,451
390,1026,1039,437,451
391,1028,1038,438,452
392,1025,1038,438,452
393,1021,1038,438,453
394,1021,1038,438,454
395,1023,1039,438,454
396,1024,1039,438,453
397,1023,1040,438,453
398,1026,1040,437,453
399,1026,1048,437,468
400,1025,1048,437,468
401,1025,1047,436,467
402,1023,1046,436,467
403,1022,1047,437,465
404,1020,1047,436,464
405,1020,1047,436,464
406,1025,1044,434,449
407,1023,1045,435,448
408,1023,1046,435,448
409,1023,1045,435,448
410,1022,1044,436,449
411,1022,1043,437,451
412,1028,1043,433,451
413,1021,1043,438,452
414,1023,1042,439,452
415,1032,1042,434,453
416,1030,1042,434,452
417,1032,1042,433,453
418,1029,1042,440,454
419,1029,1038,434,463
420,1029,1037,434,463
421,1025,1037,435,463
422,1023,1036,438,463
423,1020,1035,436,458
424,1019,1035,441,458
425,1021,1036,437,457
426,1024,1037,437,456
427,1024,1037,440,456
428,1024,1038,437,456
429,1023,1038,437,455
430,1024,1038,436,455
431,1020,1039,440,455
432,1017,1040,439,455
433,1018,1040,439,455
434,1022,1041,439,455
435,1021,1042,439,454
436,1023,1042,436,454
437,1023,1042,436,454
438,1024,1042,436,454
439,1024,1043,436,454
440,1025,1043,436,454
441,1023,1043,436,454
442,1022,1043,436,454
443,1011,1044,438,453
444,1009,1045,436,452
445,1013,1045,435,452
446,1017,1044,437,451
447,1022,1043,435,451
448,1024,1043,435,450
449,1033,1043,434,451
450,1032,1044,434,451
451,1029,1044,434,451
452,1019,1037,436,454
453,1028,1038,434,454
454,1020,1038,436,454
455,1016,1039,437,454
456,1014,1038,438,455
457,1017,1039,437,455
458,1015,1038,439,454
459,1018,1038,439,454
460,1017,1038,439,454
461,1018,1039,437,453
462,1016,1040,434,451
463,1017,1041,434,451
464,1018,1041,435,450
465,1014,1041,434,449
466,1015,1041,439,449
467,1015,1041,440,449
468,1015,1041,440,450
469,1015,1041,440,450
470,1015,1041,440,450
471,1015,1041,438,450
472,1017,1040,436,449
473,1018,1040,436,450
474,1024,1040,435,450
475,1025,1040,435,450
476,1024,1039,435,449
477,1023,1037,435,450
478,1021,1035,435,449
479,1015,1034,436,450
480,1016,1034,436,450
481,1025,1035,435,450
482,1025,1035,435,451
483,1026,1034,435,451
484,1020,1034,438,451
485,1023,1035,438,451
486,1023,1035,439,450
487,1025,1035,438,450
488,1022,1035,439,449
489,1025,1035,438,449
490,1022,1035,439,449
491,1025,1036,437,450
492,1018,1036,437,450
493,1018,1036,434,450
494,1016,1036,436,450
495,1015,1036,436,450
496,1014,1037,435,450
497,1015,1037,434,450
498,1028,1038,433,449
499,1031,1039,431,448
500,1036,1040,431,446
501,1031,1039,430,446
502,1025,1036,429,439
503,1024,1037,429,439
504,1025,1038,428,438
505,1021,1039,428,438
506,1025,1042,425,436
507,1029,1044,428,435
508,1035,1046,433,435
509,1035,1049,433,435
510,1036,1050,432,436
511,1035,1052,432,435
512,1035,1052,432,435
513,1036,1053,432,435
514,1035,1061,432,448
515,1035,1061,432,450
516,1034,1060,433,450
517,1034,1060,433,450
518,1035,1061,433,450
519,1035,1061,433,450
520,1035,1061,432,450
521,1035,1061,432,449
522,1035,1061,429,448
523,1035,1060,431,449
524,1035,1060,430,449
525,1035,1060,431,449
526,1034,1059,432,450
527,1034,1059,432,450
528,1034,1060,432,441
529,1034,1060,432,440
530,1035,1060,432,439
